Data,Ativo,Setor,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2018-09-01,FEXC11,Títulos e Val. Mob.,"106,54",0.0,"R$ 1,0500","0,9793%","2,7660%","4,9401%","9,0707%","0,9220%","0,8234%","0,7559%","6,6074%","-3,6051%","-2,6612%","10,1080%","R$ 147.754.384,7800","R$ 101,1130","1,0537","1,0384%","-0,1778%","0,8588%","7,4140%",N/A,N/A,0
2018-09-01,EDGA11,Lajes Corporativas,"37,00",0.0,"R$ 0,0972","0,2498%","0,7233%","1,3801%","3,0634%","0,2411%","0,2300%","0,2553%","1,3801%","1,9110%","2,1656%","-18,6179%","R$ 310.676.649,3100","R$ 81,4985","0,4540","0,2167%","0,0365%","0,2533%","0,2177%","25,8000%",N/A,1
2018-09-01,NSLU11,Hospital,"209,00",0.0,"R$ 1,5247","0,6978%","2,1988%","3,9494%","7,7477%","0,7329%","0,6582%","0,6456%","4,5411%","-0,5824%","0,1113%","-13,5631%","R$ 236.211.840,8000","R$ 206,3346","1,0129",,,,,"0,0000%",N/A,1
2018-09-01,HTMX11,Hotel,"117,50",0.0,"R$ 0,9451","0,8109%","1,7061%","2,8642%","5,8841%","0,5687%","0,4774%","0,4903%","3,6443%","-3,5182%","-2,7359%","-7,7370%","R$ 150.610.497,2300","R$ 134,5986","0,8730","0,7021%","-0,2556%","0,4447%","3,6299%","30,0000%",N/A,24
2018-09-01,MAXR11,Outros,"1.884,93",0.0,"R$ 7,7611","0,4117%","2,6739%","3,9843%","8,4968%","0,8913%","0,6640%","0,7081%","4,3699%","-1,5717%","-1,1665%","-1,6618%","R$ 109.508.649,1200","R$ 1.848,4032","1,0198",,,,,"0,0000%",N/A,8
2018-09-01,JRDM11,Shoppings,"72,00",0.0,"R$ 0,4495","0,6116%","1,7188%","2,9245%","5,8547%","0,5729%","0,4874%","0,4879%","3,3477%","6,5063%","7,1577%","-6,7535%","R$ 188.995.517,2300","R$ 85,0159","0,8469",,,,,"3,3000%",N/A,1
2018-09-01,ALMI11,Lajes Corporativas,"1.270,00",0.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","-2,9364%","-2,9364%","-25,1361%","R$ 214.358.821,0800","R$ 2.047,3622","0,6203",,,,,"82,0000%",N/A,1
2018-09-01,TRNT11,Lajes Corporativas,"172,00",67.0,"R$ 0,5440","0,3317%","0,7456%","1,4223%","3,0643%","0,2485%","0,2370%","0,2554%","1,8323%","-10,8696%","-10,5739%","-6,1687%","R$ 738.959.081,2200","R$ 187,7646","0,9160","0,2897%","0,1054%","0,3954%","2,8680%","20,1000%",N/A,1
2018-09-01,FVBI11,Lajes Corporativas,"100,01",0.0,"R$ 0,3635","0,3604%","1,4097%","2,5459%","4,7106%","0,4699%","0,4243%","0,3926%","2,9413%","0,8500%","1,2135%","1,3208%","R$ 202.366.725,6900","R$ 94,1241","1,0625",,,,,"22,4000%",N/A,1
2018-09-01,FCFL11,Outros,"1.910,00",74.0,"R$ 10,4975","0,5599%","1,7304%","3,3353%","6,3004%","0,5768%","0,5559%","0,5250%","4,2914%","-1,3153%","-0,7628%","-12,9061%","R$ 262.124.791,4600","R$ 1.569,6095","1,2169","0,6688%","0,0525%","0,7216%","6,9460%","0,0000%",N/A,1
2018-09-01,THRA11,Lajes Corporativas,"102,81",1099.0,"R$ 0,5440","0,5181%","1,5662%","2,5832%","4,9784%","0,5221%","0,4305%","0,4149%","3,3263%","-2,5522%","-2,0474%","-3,9437%","R$ 134.718.926,0900","R$ 91,4758","1,1239","0,5946%","-0,0746%","0,5196%","11,3317%","0,0000%",N/A,1
2018-09-01,CEOC11,Lajes Corporativas,"78,98",672.0,"R$ 0,5562","0,7059%","1,9879%","3,8327%","6,9530%","0,6626%","0,6388%","0,5794%","5,0084%","-2,4272%","-1,7384%","-7,9738%","R$ 151.949.552,9900","R$ 83,6867","0,9438","0,6646%","-0,0193%","0,6452%","8,9036%","0,0000%",N/A,1
2018-09-01,GGRC11,Logística,"122,91",11447.0,"R$ 0,8800","0,6990%","1,9168%","3,7425%","7,5376%","0,6389%","0,6237%","0,6281%","4,8428%","3,0447%","3,7649%","-0,4314%","R$ 472.229.126,8600","R$ 122,7772","1,0011","0,7167%","0,0014%","0,7181%","17,0802%","0,0000%","0,0000%",13
2018-09-01,OUJP11,Títulos e Val. Mob.,"97,00",738.0,"R$ 0,5000","0,5089%","1,6517%","3,5117%","7,6934%","0,5506%","0,5853%","0,6411%","4,8505%","-2,2193%","-1,7217%","-2,9023%","R$ 74.846.202,0600","R$ 103,9531","0,9331","0,4810%","0,5842%","1,0680%","7,6119%",N/A,N/A,0
2018-09-01,HCRI11,Hospital,"315,00",0.0,"R$ 2,3100","0,7397%","2,2107%","4,1013%","7,9910%","0,7369%","0,6835%","0,6659%","5,4664%","0,0962%","0,8365%","0,7593%","R$ 62.902.279,3600","R$ 314,5114","1,0016","0,7345%","-0,0054%","0,7290%","5,9383%","0,0000%",N/A,1
2018-09-01,RBRF11,Títulos e Val. Mob.,"95,23",1755.0,"R$ 0,6361","0,6477%","2,2242%","4,3679%","0,0000%","0,7414%","0,7280%","0,0000%","4,3679%","-1,3065%","-0,6673%","5,8608%","R$ 75.749.818,8400","R$ 93,5192","1,0183","0,6801%","-0,8907%","-0,2166%","-0,6987%",N/A,N/A,0
2018-09-01,VISC11,Shoppings,"98,18",15979.0,"R$ 0,6100","0,6131%","1,8121%","3,5046%","0,0000%","0,6040%","0,5841%","0,0000%","4,6061%","-2,9268%","-2,3317%","0,1601%","R$ 807.572.004,0400","R$ 98,9698","0,9920","0,6163%","-0,2684%","0,3462%","5,6223%","4,3000%",N/A,7
2018-09-01,XPML11,Shoppings,"87,70",5405.0,"R$ 0,5001","0,5594%","1,3205%","2,8705%","0,0000%","0,4402%","0,4784%","0,0000%","3,8386%","-3,7986%","-3,2604%","-10,9996%","R$ 289.301.149,7100","R$ 113,7108","0,7713","0,4398%","-0,2373%","0,2014%","23,1129%","3,4000%",N/A,3
2018-09-01,BCFF11,Títulos e Val. Mob.,"78,50",9657.0,"R$ 0,5300","0,6837%","1,9818%","3,7491%","7,5381%","0,6606%","0,6249%","0,6282%","4,9443%","-3,1000%","-2,4375%","-0,6870%","R$ 484.401.775,9300","R$ 81,4208","0,9641","0,6509%","-0,8812%","-0,2360%","-4,7835%",N/A,N/A,0
2018-09-01,MALL11,Shoppings,"97,47",2509.0,"R$ 0,6200","0,6256%","1,8684%","3,7096%","0,0000%","0,6228%","0,6183%","0,0000%","4,6610%","-0,4520%","0,1708%","3,8142%","R$ 178.163.040,4700","R$ 95,7797","1,0176","0,6473%","0,0260%","0,6734%","4,6374%","0,0000%",N/A,1
2018-09-01,UBSR11,Títulos e Val. Mob.,"103,20",748.0,"R$ 0,5988","0,5813%","1,5020%","0,0000%","0,0000%","0,5007%","0,0000%","0,0000%","1,5020%","-0,9615%","-0,3858%","-2,6311%","R$ 29.977.759,4100","R$ 96,4262","1,0702","0,6210%","-1,0367%","-0,4222%","2,1658%",N/A,N/A,0
2018-09-01,BZLI11,Títulos e Val. Mob.,"13,41",18877.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,6787%","0,6787%","1,1364%","R$ 295.689.780,5900","R$ 12,3167","1,0888",,,,,N/A,N/A,0
2018-09-01,ALZR11,Outros,"92,46",1200.0,"R$ 0,6419","0,6972%","2,0712%","3,9172%","0,0000%","0,6904%","0,6529%","0,0000%","5,0169%","-1,9071%","-1,2232%","-6,5001%","R$ 97.116.459,7600","R$ 97,4046","0,9492","0,6590%","0,0129%","0,6720%","7,2925%","0,0000%",N/A,2
2018-09-01,MGFF11,Títulos e Val. Mob.,"82,90",0.0,"R$ 0,4300","0,4915%","1,1843%","0,0000%","0,0000%","0,3948%","0,0000%","0,0000%","1,8495%","-7,2118%","-6,7558%","-10,8800%","R$ 108.511.141,2700","R$ 89,9815","0,9213","0,4779%","-1,2348%","-0,7629%","-4,4260%",N/A,N/A,0
2018-09-01,IRDM11,Títulos e Val. Mob.,"95,95",2033.0,"R$ 0,9089","0,9468%","2,5838%","0,0000%","0,0000%","0,8613%","0,0000%","0,0000%","3,6590%","-0,8674%","0,0712%","0,5298%","R$ 102.921.384,2400","R$ 95,2976","1,0068","0,9538%","-0,2805%","0,6706%","3,7004%",N/A,N/A,0
2018-09-01,HFOF11,Títulos e Val. Mob.,"87,00",5079.0,"R$ 0,5400","0,6067%","2,1722%","0,0000%","0,0000%","0,7241%","0,0000%","0,0000%","3,6132%","-4,8128%","-4,2353%","-7,7381%","R$ 194.088.700,2200","R$ 87,8839","0,9899","0,6144%","-0,7496%","-0,1397%","-9,0876%",N/A,N/A,0
2018-09-01,WPLZ11,Shoppings,"59,85",168.0,"R$ 0,4700","0,7833%","2,3535%","2,8034%","3,4444%","0,7845%","0,4672%","0,2870%","2,8034%","0,0000%","0,7833%","-12,0231%","R$ 81.938.253,0200","R$ 82,8212","0,7226",,,,,"11,5000%",N/A,1
2018-09-01,XPLG11,Logística,"88,90",4048.0,"R$ 0,5000","0,5682%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","1,0347%","-9,2784%","-8,7629%","-11,0868%","R$ 350.600.620,3500","R$ 95,7624","0,9283","0,5221%","0,5302%","1,0551%","1,9379%",N/A,N/A,0
2018-09-01,OUCY11,Títulos e Val. Mob.,"95,50",112.0,"R$ 0,4373","0,4579%","1,4844%","0,0000%","0,0000%","0,4948%","0,0000%","0,0000%","1,8022%","3,8043%","4,2797%","-2,7674%","R$ 51.270.886,5100","R$ 96,0280","0,9945","0,4554%","-0,1900%","0,2645%","2,2429%",N/A,N/A,0
2018-09-01,RBRR11,Títulos e Val. Mob.,"97,69",1772.0,"R$ 0,7100","0,7172%","1,8667%","0,0000%","0,0000%","0,6222%","0,0000%","0,0000%","2,2493%","2,8144%","3,5518%","1,2452%","R$ 142.152.688,4200","R$ 96,0211","1,0174","0,7394%","-0,0443%","0,6948%","2,1438%",N/A,N/A,0
2018-09-01,RDPD11,Títulos e Val. Mob.,"89,99",85.0,"R$ 0,3800","0,4444%","1,5047%","0,0000%","0,0000%","0,5016%","0,0000%","0,0000%","1,5047%","-11,1123%","-10,7173%","-13,1971%","R$ 104.768.936,5000","R$ 97,1845","0,9260","0,3910%","0,3476%","0,7400%","1,4510%",N/A,N/A,0
2018-09-01,HGRU11,Híbrido,"101,17",2393.0,"R$ 0,6800","0,6621%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","1,2976%","-4,0187%","-3,3832%","4,0370%","R$ 147.002.797,4700","R$ 98,0019","1,0323","0,6939%","0,3965%","1,0931%","1,7973%",N/A,N/A,1
