Data,Ativo,Setor,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2018-04-28,AEFI11,Outros,"181,00",1222.0,"R$ 1,2200","0,6854%","2,1437%","4,3854%","9,5127%","0,7146%","0,7309%","0,7927%","2,1437%","6,6571%","7,3881%","10,2147%","R$ 111.139.081,0500","R$ 147,6931","1,2255","0,8260%","0,0447%","0,8711%","2,5870%","0,0000%",N/A,2
2018-04-28,BCRI11,Títulos e Val. Mob.,"103,20",2038.0,"R$ 0,6600","0,6373%","1,7938%","3,6323%","8,1828%","0,5979%","0,6054%","0,6819%","1,7938%","1,5294%","2,1765%","-1,4684%","R$ 119.794.020,8700","R$ 99,0032","1,0424","0,6666%","0,8321%","1,5042%","2,9877%",N/A,N/A,0
2018-04-28,BNFS11,Outros,"123,00",86.0,"R$ 0,8297","0,6746%","2,0162%","3,8983%","7,8513%","0,6721%","0,6497%","0,6543%","2,0162%","3,3613%","4,0586%","4,5805%","R$ 62.573.416,7000","R$ 89,3906","1,3760","0,9282%","0,0131%","0,9414%","2,7970%",N/A,N/A,18
2018-04-28,BBFI11B,Lajes Corporativas,"2.570,00",126.0,"R$ 23,2064","0,7827%","2,3216%","4,7075%","9,9212%","0,7739%","0,7846%","0,8268%","2,3216%","-1,1364%","-0,3626%","1,5491%","R$ 349.923.455,5300","R$ 2.691,7189","0,9548","0,8621%","0,0609%","0,9236%","2,7160%",N/A,N/A,2
2018-04-28,BBPO11,Lajes Corporativas,"147,97",21038.0,"R$ 0,9809","0,6566%","2,0085%","4,1745%","8,3440%","0,6695%","0,6957%","0,6953%","2,0085%","1,8058%","2,4742%","6,2018%","R$ 1.525.225.970,1600","R$ 95,8075","1,5445","1,0238%","-1,1940%","-0,1824%","2,6893%",N/A,N/A,64
2018-04-28,BBRC11,Outros,"146,00",836.0,"R$ 0,8000","0,5478%","1,6192%","3,4490%","7,1955%","0,5397%","0,5748%","0,5996%","1,6192%","-2,6917%","-2,1587%","-0,1093%","R$ 153.304.751,5500","R$ 96,4181","1,5142","0,8297%","-1,0695%","-0,2487%","2,4014%",N/A,N/A,19
2018-04-28,RNDP11,Títulos e Val. Mob.,"937,00",53.0,"R$ 5,3249","0,5720%","1,7076%","3,5254%","8,1926%","0,5692%","0,5876%","0,6827%","1,7076%","-1,1656%","-0,6003%","4,0646%","R$ 112.023.015,0600","R$ 1.042,2588","0,8990","0,5109%","-0,3131%","0,1962%","1,3078%",N/A,N/A,0
2018-04-28,BCIA11,Títulos e Val. Mob.,"120,00",179.0,"R$ 0,7000","0,5730%","1,6995%","3,4618%","7,1742%","0,5665%","0,5770%","0,5979%","1,6995%","2,2429%","2,8287%","7,8629%","R$ 210.484.540,8500","R$ 124,5756","0,9633","0,5619%","3,2757%","3,8560%","5,5486%",N/A,N/A,0
2018-04-28,CARE11,Híbrido,"2,00",39882.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%",,"0,0000%","0,0000%","0,0000%","R$ 117.447.847,9400","R$ 1,3726","1,4570",,,,,N/A,N/A,0
2018-04-28,CXRI11,Híbrido,"1.047,00",50.0,"R$ 7,0000","0,6034%","1,8650%","4,0282%","8,4554%","0,6217%","0,6714%","0,7046%","1,8650%","2,7467%","3,3667%","1,0923%","R$ 173.972.561,4300","R$ 1.104,0549","0,9483","0,6340%","0,8741%","1,5136%","3,0305%",N/A,N/A,0
2018-04-28,CPTS11B,Títulos e Val. Mob.,"98,60",3318.0,"R$ 0,7500","0,7614%","2,2002%","4,5447%","9,3836%","0,7334%","0,7574%","0,7820%","2,2002%","-0,2936%","0,4656%","2,1127%","R$ 99.127.793,1800","R$ 99,1278","0,9947","0,7566%","-0,2746%","0,4799%","2,7359%",N/A,N/A,0
2018-04-28,CBOP11,Lajes Corporativas,"75,35",3681.0,"R$ 4,7000","0,5802%","1,7955%","3,6572%","7,6929%","0,5985%","0,6095%","0,6411%","1,7955%","4,9223%","5,5311%","6,4040%","R$ 101.197.567,6300","R$ 715,1772","0,1054","0,6572%","0,0335%","0,6909%","1,9942%","7,0000%",N/A,1
2018-04-28,ATSA11B,Shoppings,"1.140,00",237.0,"R$ 1,5000","0,1316%","0,3453%","0,6823%","2,3592%","0,1151%","0,1137%","0,1966%","0,3453%","-0,8696%","-0,7391%","-4,6715%","R$ 214.717.321,5500","R$ 1.251,8501","0,9107","0,1198%","0,0610%","0,1809%","0,4777%","23,0000%",N/A,1
2018-04-28,HGBS11,Shoppings,"241,00",790.0,"R$ 12,0000","0,5034%","1,4979%","2,8429%","6,2464%","0,4993%","0,4738%","0,5205%","1,4979%","0,6332%","1,1397%","-1,5897%","R$ 1.244.111.389,9800","R$ 2.314,6603","0,1041","0,5184%","-0,0317%","0,4866%","2,1755%","6,4900%",N/A,8
2018-04-28,GRLV11,Logística,"140,00",4035.0,"R$ 7,5000","0,5357%","1,7130%","3,5755%","7,7437%","0,5710%","0,5959%","0,6453%","1,7130%","10,6702%","11,2631%","17,2133%","R$ 126.592.107,5400","R$ 1.179,2135","0,1187","0,6360%","-0,0129%","0,6230%","1,8855%","7,2800%",N/A,1
2018-04-28,HGJH11,Lajes Corporativas,"161,00",1356.0,"R$ 7,5000","0,4409%","1,4291%","3,0239%","6,4817%","0,4764%","0,5040%","0,5401%","1,4291%","12,0600%","12,5541%","13,6856%","R$ 192.950.558,4500","R$ 1.169,3973","0,1377","0,6414%","-0,0841%","0,5567%","1,8407%","7,7000%",N/A,2
2018-04-28,HGLG11,Logística,"139,50",17563.0,"R$ 8,7000","0,5785%","1,8711%","3,8546%","8,0096%","0,6237%","0,6424%","0,6675%","1,8711%","8,9696%","9,6001%","16,5968%","R$ 924.856.003,2500","R$ 1.173,4756","0,1189","0,7414%","3,0595%","3,8235%","5,1230%","22,4000%","23,8000%",8
2018-04-28,HGRE11,Lajes Corporativas,"151,50",1101.0,"R$ 8,0000","0,5246%","1,5913%","3,4572%","7,3647%","0,5304%","0,5762%","0,6137%","1,5913%","1,6667%","2,2000%","3,2965%","R$ 1.108.132.906,6800","R$ 1.500,9046","0,1009","0,5330%","0,1280%","0,6617%","1,8803%","18,3000%","18,7000%",19
2018-04-28,HGCR11,Títulos e Val. Mob.,"109,25",2502.0,"R$ 0,7700","0,7087%","2,1321%","4,2526%","8,9318%","0,7107%","0,7088%","0,7443%","2,1321%","-0,3211%","0,3853%","8,8068%","R$ 109.771.816,6100","R$ 104,8351","1,0421","0,7345%","1,2974%","2,0414%","4,9942%",N/A,N/A,0
2018-04-28,DOMC11,Lajes Corporativas,"528,11",39.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","5,3571%","R$ 238.882.812,0200","R$ 1.001,6051","0,5273","0,0000%","-0,2338%","-0,2338%","-1,6662%",N/A,N/A,1
2018-04-28,FIXX11,Títulos e Val. Mob.,"85,00",442.0,"R$ 0,3900","0,4479%","1,4255%","3,5875%","7,4324%","0,4752%","0,5979%","0,6194%","1,4255%","-7,6180%","-7,2042%","-6,0457%","R$ 35.039.137,6400","R$ 95,7427","0,8878","0,4073%","2,1597%","2,5758%","4,3941%",N/A,N/A,0
2018-04-28,VRTA11,Títulos e Val. Mob.,"105,90",3654.0,"R$ 0,6900","0,6488%","1,8605%","3,8194%","8,4229%","0,6202%","0,6366%","0,7019%","1,8605%","-0,5982%","0,0467%","-2,1576%","R$ 233.550.300,4800","R$ 104,1799","1,0165","0,6623%","-0,4232%","0,2363%","1,6142%",N/A,N/A,0
2018-04-28,BRCR11,Híbrido,"104,20",27008.0,"R$ 0,3064","0,2866%","1,0888%","2,3997%","5,1372%","0,3629%","0,3999%","0,4281%","0,6191%","1,5677%","1,8588%","2,1975%","R$ 2.401.646.668,8700","R$ 124,9261","0,8341",,,,,"31,4000%","28,5000%",11
2018-04-28,FAMB11B,Lajes Corporativas,"3.562,00",57.0,"R$ 36,5392","0,9227%","2,6792%","5,3822%","10,2625%","0,8931%","0,8970%","0,8552%","2,6792%","-3,4146%","-2,5234%","-0,3175%","R$ 483.953.774,3800","R$ 4.617,8795","0,7713","0,7913%","0,0409%","0,8325%","2,4472%","0,0000%",N/A,1
2018-04-28,PQDP11,Shoppings,"3.388,00",35.0,"R$ 12,8452","0,3928%","1,1936%","2,4259%","5,4453%","0,3979%","0,4043%","0,4538%","0,7440%","-0,7289%","-0,3389%","0,0110%","R$ 636.507.234,9500","R$ 2.669,0508","1,2694",,,,,"2,1000%",N/A,1
2018-04-28,PRSV11,Lajes Corporativas,"395,00",88.0,"R$ 0,7200","0,1791%","0,4690%","1,2305%","3,4198%","0,1563%","0,2051%","0,2850%","0,4690%","1,2594%","1,4408%","-0,4785%","R$ 79.017.120,9400","R$ 405,2160","0,9748","0,1777%","-0,0069%","0,1708%","0,5149%",N/A,N/A,2
2018-04-28,WPLZ11B,Shoppings,"69,00",251.0,"R$ 0,0933","0,1287%","0,4440%","0,7726%","1,4690%","0,1480%","0,1288%","0,1224%","0,2679%","-4,5550%","-4,4322%","-4,2992%","R$ 82.441.288,5100","R$ 83,3297","0,8280",,,,,"9,0000%",N/A,1
